,5.000000,57.000000
0,5.02,55.0
1,5.04,57.0
2,5.06,56.0
3,5.08,68.0
4,5.1,50.0
5,5.12,67.0
6,5.14,56.0
7,5.16,69.0
8,5.18,50.0
9,5.2,66.0
10,5.22,61.0
11,5.24,50.0
12,5.26,47.0
13,5.28,56.0
14,5.3,54.0
15,5.32,56.0
16,5.34,53.0
17,5.36,47.0
18,5.38,49.0
19,5.4,63.0
20,5.42,64.0
21,5.44,46.0
22,5.46,48.0
23,5.48,42.0
24,5.5,44.0
25,5.52,47.0
26,5.54,53.0
27,5.56,55.0
28,5.58,41.0
29,5.6,50.0
30,5.62,50.0
31,5.64,56.0
32,5.66,58.0
33,5.68,57.0
34,5.7,48.0
35,5.72,62.0
36,5.74,50.0
37,5.76,40.0
38,5.78,50.0
39,5.8,47.0
40,5.82,58.0
41,5.84,43.0
42,5.86,56.0
43,5.88,46.0
44,5.9,50.0
45,5.92,62.0
46,5.94,36.0
47,5.96,41.0
48,5.98,38.0
49,6.0,51.0
50,6.02,53.0
51,6.04,43.0
52,6.06,41.0
53,6.08,56.0
54,6.1,53.0
55,6.12,47.0
56,6.14,51.0
57,6.16,47.0
58,6.18,41.0
59,6.2,39.0
60,6.22,38.0
61,6.24,48.0
62,6.26,48.0
63,6.28,42.0
64,6.3,45.0
65,6.32,33.0
66,6.34,40.0
67,6.36,40.0
68,6.38,39.0
69,6.4,39.0
70,6.42,34.0
71,6.44,50.0
72,6.46,32.0
73,6.48,44.0
74,6.5,47.0
75,6.52,48.0
76,6.54,47.0
77,6.56,47.0
78,6.58,43.0
79,6.6,36.0
80,6.62,42.0
81,6.64,50.0
82,6.66,30.0
83,6.68,29.0
84,6.7,43.0
85,6.72,41.0
86,6.74,38.0
87,6.76,38.0
88,6.78,51.0
89,6.8,38.0
90,6.82,48.0
91,6.84,39.0
92,6.86,35.0
93,6.88,47.0
94,6.9,43.0
95,6.92,33.0
96,6.94,40.0
97,6.96,37.0
98,6.98,45.0
99,7.0,39.0
100,7.02,48.0
101,7.04,47.0
102,7.06,32.0
103,7.08,43.0
