,5.000000,55.000000
0,5.020000,40.000000
1,5.040000,53.000000
2,5.060000,57.000000
3,5.080000,58.000000
4,5.100000,38.000000
5,5.120000,48.000000
6,5.140000,58.000000
7,5.160000,51.000000
8,5.180000,49.000000
9,5.200000,48.000000
10,5.220000,53.000000
11,5.240000,41.000000
12,5.260000,34.000000
13,5.280000,54.000000
14,5.300000,53.000000
15,5.320000,40.000000
16,5.340000,55.000000
17,5.360000,50.000000
18,5.380000,50.000000
19,5.400000,47.000000
20,5.420000,67.000000
21,5.440000,58.000000
22,5.460000,50.000000
23,5.480000,46.000000
24,5.500000,46.000000
25,5.520000,48.000000
26,5.540000,47.000000
27,5.560000,48.000000
28,5.580000,43.000000
29,5.600000,54.000000
30,5.620000,49.000000
31,5.640000,41.000000
32,5.660000,55.000000
33,5.680000,35.000000
34,5.700000,31.000000
35,5.720000,33.000000
36,5.740000,59.000000
37,5.760000,51.000000
38,5.780000,38.000000
39,5.800000,61.000000
40,5.820000,35.000000
41,5.840000,33.000000
42,5.860000,52.000000
43,5.880000,37.000000
44,5.900000,35.000000
45,5.920000,46.000000
46,5.940000,37.000000
47,5.960000,46.000000
48,5.980000,32.000000
49,6.000000,44.000000
50,6.020000,33.000000
51,6.040000,34.000000
52,6.060000,33.000000
53,6.080000,38.000000
54,6.100000,39.000000
55,6.120000,52.000000
56,6.140000,36.000000
57,6.160000,45.000000
58,6.180000,48.000000
59,6.200000,34.000000
60,6.220000,45.000000
61,6.240000,41.000000
62,6.260000,43.000000
63,6.280000,40.000000
64,6.300000,37.000000
65,6.320000,47.000000
66,6.340000,38.000000
67,6.360000,39.000000
68,6.380000,41.000000
69,6.400000,37.000000
70,6.420000,37.000000
71,6.440000,29.000000
72,6.460000,41.000000
73,6.480000,51.000000
74,6.500000,45.000000
75,6.520000,33.000000
76,6.540000,38.000000
77,6.560000,37.000000
78,6.580000,34.000000
79,6.600000,38.000000
80,6.620000,33.000000
81,6.640000,40.000000
82,6.660000,38.000000
83,6.680000,31.000000
84,6.700000,38.000000
85,6.720000,36.000000
86,6.740000,32.000000
87,6.760000,35.000000
88,6.780000,32.000000
89,6.800000,34.000000
90,6.820000,61.000000
91,6.840000,42.000000
92,6.860000,33.000000
93,6.880000,36.000000
94,6.900000,39.000000
95,6.920000,40.000000
96,6.940000,34.000000
97,6.960000,38.000000
98,6.980000,30.000000
99,7.000000,37.000000
100,7.020000,25.000000
101,7.040000,41.000000
102,7.060000,31.000000
103,7.080000,30.000000
104,7.100000,30.000000
105,7.120000,24.000000
106,7.140000,40.000000
107,7.160000,42.000000
108,7.180000,35.000000
109,7.200000,26.000000
110,7.220000,31.000000
111,7.240000,43.000000
112,7.260000,35.000000
113,7.280000,34.000000
114,7.300000,24.000000
115,7.320000,34.000000
116,7.340000,38.000000
117,7.360000,24.000000
118,7.380000,31.000000
119,7.400000,36.000000
120,7.420000,35.000000
121,7.440000,39.000000
122,7.460000,35.000000
123,7.480000,34.000000
124,7.500000,39.000000
125,7.520000,44.000000
126,7.540000,42.000000
127,7.560000,41.000000
128,7.580000,39.000000
129,7.600000,27.000000
130,7.620000,36.000000
131,7.640000,37.000000
132,7.660000,41.000000
133,7.680000,44.000000
134,7.700000,46.000000
135,7.720000,46.000000
136,7.740000,37.000000
137,7.760000,53.000000
138,7.780000,48.000000
139,7.800000,63.000000
140,7.820000,54.000000
141,7.840000,52.000000
142,7.860000,75.000000
143,7.880000,70.000000
144,7.900000,47.000000
145,7.920000,49.000000
146,7.940000,56.000000
147,7.960000,40.000000
148,7.980000,26.000000
149,8.000000,38.000000
150,8.020000,42.000000
151,8.040000,37.000000
152,8.060000,33.000000
153,8.080000,39.000000
154,8.100000,46.000000
155,8.120000,42.000000
156,8.140000,29.000000
157,8.160000,21.000000
158,8.180000,25.000000
159,8.200000,32.000000
160,8.220000,39.000000
161,8.240000,26.000000
162,8.260000,39.000000
163,8.280000,25.000000
164,8.300000,33.000000
165,8.320000,30.000000
166,8.340000,34.000000
167,8.360000,30.000000
168,8.380000,38.000000
169,8.400000,29.000000
170,8.420000,24.000000
171,8.440000,32.000000
172,8.460000,25.000000
173,8.480000,15.000000
174,8.500000,27.000000
175,8.520000,19.000000
176,8.540000,30.000000
177,8.560000,29.000000
178,8.580000,27.000000
179,8.600000,19.000000
180,8.620000,32.000000
181,8.640000,23.000000
182,8.660000,30.000000
183,8.680000,29.000000
184,8.700000,35.000000
185,8.720000,21.000000
186,8.740000,32.000000
187,8.760000,31.000000
188,8.780000,29.000000
189,8.800000,28.000000
190,8.820000,34.000000
191,8.840000,30.000000
192,8.860000,29.000000
193,8.880000,32.000000
194,8.900000,24.000000
195,8.920000,35.000000
196,8.940000,29.000000
197,8.960000,27.000000
198,8.980000,24.000000
199,9.000000,31.000000
200,9.020000,30.000000
201,9.040000,22.000000
202,9.060000,33.000000
203,9.080000,31.000000
204,9.100000,22.000000
205,9.120000,31.000000
206,9.140000,30.000000
207,9.160000,21.000000
208,9.180000,27.000000
209,9.200000,19.000000
210,9.220000,19.000000
211,9.240000,29.000000
212,9.260000,33.000000
213,9.280000,27.000000
214,9.300000,21.000000
215,9.320000,27.000000
216,9.340000,24.000000
217,9.360000,24.000000
218,9.380000,27.000000
219,9.400000,16.000000
220,9.420000,23.000000
221,9.440000,24.000000
222,9.460000,32.000000
223,9.480000,23.000000
224,9.500000,29.000000
225,9.520000,24.000000
226,9.540000,15.000000
227,9.560000,17.000000
228,9.580000,34.000000
229,9.600000,25.000000
230,9.620000,32.000000
231,9.640000,27.000000
232,9.660000,31.000000
233,9.680000,16.000000
234,9.700000,21.000000
235,9.720000,35.000000
236,9.740000,24.000000
237,9.760000,28.000000
238,9.780000,14.000000
239,9.800000,20.000000
240,9.820000,19.000000
241,9.840000,36.000000
242,9.860000,22.000000
243,9.880000,32.000000
244,9.900000,26.000000
245,9.920000,20.000000
246,9.940000,24.000000
247,9.960000,23.000000
248,9.980000,26.000000
249,10.000000,27.000000
250,10.020000,23.000000
251,10.040000,31.000000
252,10.060000,30.000000
253,10.080000,26.000000
254,10.100000,30.000000
255,10.120000,30.000000
256,10.140000,24.000000
257,10.160000,20.000000
258,10.180000,25.000000
259,10.200000,28.000000
260,10.220000,22.000000
261,10.240000,28.000000
262,10.260000,19.000000
263,10.280000,26.000000
264,10.300000,18.000000
265,10.320000,19.000000
266,10.340000,22.000000
267,10.360000,23.000000
268,10.380000,22.000000
269,10.400000,21.000000
270,10.420000,25.000000
271,10.440000,21.000000
272,10.460000,21.000000
273,10.480000,19.000000
274,10.500000,24.000000
275,10.520000,25.000000
276,10.540000,15.000000
277,10.560000,34.000000
278,10.580000,27.000000
279,10.600000,18.000000
280,10.620000,23.000000
281,10.640000,30.000000
282,10.660000,21.000000
283,10.680000,19.000000
284,10.700000,19.000000
285,10.720000,25.000000
286,10.740000,25.000000
287,10.760000,28.000000
288,10.780000,28.000000
289,10.800000,16.000000
290,10.820000,18.000000
291,10.840000,24.000000
292,10.860000,20.000000
293,10.880000,18.000000
294,10.900000,16.000000
295,10.920000,18.000000
296,10.940000,11.000000
297,10.960000,26.000000
298,10.980000,31.000000
299,11.000000,26.000000
300,11.020000,25.000000
301,11.040000,25.000000
302,11.060000,17.000000
303,11.080000,14.000000
304,11.100000,13.000000
305,11.120000,16.000000
306,11.140000,21.000000
307,11.160000,19.000000
308,11.180000,10.000000
309,11.200000,22.000000
310,11.220000,18.000000
311,11.240000,10.000000
312,11.260000,20.000000
313,11.280000,19.000000
314,11.300000,23.000000
315,11.320000,14.000000
316,11.340000,20.000000
317,11.360000,22.000000
318,11.380000,22.000000
319,11.400000,24.000000
320,11.420000,17.000000
321,11.440000,22.000000
322,11.460000,17.000000
323,11.480000,23.000000
324,11.500000,22.000000
325,11.520000,26.000000
326,11.540000,26.000000
327,11.560000,23.000000
328,11.580000,16.000000
329,11.600000,32.000000
330,11.620000,15.000000
331,11.640000,13.000000
332,11.660000,29.000000
333,11.680000,18.000000
334,11.700000,17.000000
335,11.720000,21.000000
336,11.740000,14.000000
337,11.760000,23.000000
338,11.780000,18.000000
339,11.800000,24.000000
340,11.820000,16.000000
341,11.840000,26.000000
342,11.860000,23.000000
343,11.880000,21.000000
344,11.900000,26.000000
345,11.920000,20.000000
346,11.940000,21.000000
347,11.960000,12.000000
348,11.980000,17.000000
349,12.000000,16.000000
350,12.020000,19.000000
351,12.040000,22.000000
352,12.060000,22.000000
353,12.080000,27.000000
354,12.100000,18.000000
355,12.120000,19.000000
356,12.140000,11.000000
357,12.160000,25.000000
358,12.180000,18.000000
359,12.200000,20.000000
360,12.220000,21.000000
361,12.240000,20.000000
362,12.260000,22.000000
363,12.280000,20.000000
364,12.300000,22.000000
365,12.320000,26.000000
366,12.340000,14.000000
367,12.360000,15.000000
368,12.380000,23.000000
369,12.400000,20.000000
370,12.420000,10.000000
371,12.440000,26.000000
372,12.460000,20.000000
373,12.480000,14.000000
374,12.500000,17.000000
375,12.520000,18.000000
376,12.540000,21.000000
377,12.560000,25.000000
378,12.580000,23.000000
379,12.600000,20.000000
380,12.620000,24.000000
381,12.640000,20.000000
382,12.660000,13.000000
383,12.680000,26.000000
384,12.700000,20.000000
385,12.720000,23.000000
386,12.740000,20.000000
387,12.760000,21.000000
388,12.780000,19.000000
389,12.800000,26.000000
390,12.820000,22.000000
391,12.840000,20.000000
392,12.860000,16.000000
393,12.880000,15.000000
394,12.900000,24.000000
395,12.920000,22.000000
396,12.940000,12.000000
397,12.960000,14.000000
398,12.980000,20.000000
399,13.000000,16.000000
400,13.020000,19.000000
401,13.040000,22.000000
402,13.060000,17.000000
403,13.080000,26.000000
404,13.100000,19.000000
405,13.120000,16.000000
406,13.140000,33.000000
407,13.160000,19.000000
408,13.180000,15.000000
409,13.200000,18.000000
410,13.220000,22.000000
411,13.240000,13.000000
412,13.260000,20.000000
413,13.280000,24.000000
414,13.300000,16.000000
415,13.320000,23.000000
416,13.340000,25.000000
417,13.360000,28.000000
418,13.380000,19.000000
419,13.400000,21.000000
420,13.420000,11.000000
421,13.440000,17.000000
422,13.460000,24.000000
423,13.480000,19.000000
424,13.500000,19.000000
425,13.520000,26.000000
426,13.540000,25.000000
427,13.560000,21.000000
428,13.580000,13.000000
429,13.600000,18.000000
430,13.620000,26.000000
431,13.640000,25.000000
432,13.660000,18.000000
433,13.680000,19.000000
434,13.700000,14.000000
435,13.720000,26.000000
436,13.740000,19.000000
437,13.760000,30.000000
438,13.780000,25.000000
439,13.800000,30.000000
440,13.820000,19.000000
441,13.840000,18.000000
442,13.860000,19.000000
443,13.880000,21.000000
444,13.900000,22.000000
445,13.920000,19.000000
446,13.940000,23.000000
447,13.960000,26.000000
448,13.980000,24.000000
449,14.000000,19.000000
450,14.020000,14.000000
451,14.040000,26.000000
452,14.060000,19.000000
453,14.080000,18.000000
454,14.100000,19.000000
455,14.120000,15.000000
456,14.140000,20.000000
457,14.160000,17.000000
458,14.180000,16.000000
459,14.200000,18.000000
460,14.220000,17.000000
461,14.240000,18.000000
462,14.260000,16.000000
463,14.280000,28.000000
464,14.300000,29.000000
465,14.320000,22.000000
466,14.340000,20.000000
467,14.360000,15.000000
468,14.380000,20.000000
469,14.400000,20.000000
470,14.420000,21.000000
471,14.440000,14.000000
472,14.460000,22.000000
473,14.480000,18.000000
474,14.500000,21.000000
475,14.520000,19.000000
476,14.540000,21.000000
477,14.560000,17.000000
478,14.580000,26.000000
479,14.600000,15.000000
480,14.620000,29.000000
481,14.640000,19.000000
482,14.660000,31.000000
483,14.680000,18.000000
484,14.700000,17.000000
485,14.720000,18.000000
486,14.740000,15.000000
487,14.760000,13.000000
488,14.780000,19.000000
489,14.800000,20.000000
490,14.820000,26.000000
491,14.840000,20.000000
492,14.860000,22.000000
493,14.880000,29.000000
494,14.900000,18.000000
495,14.920000,22.000000
496,14.940000,15.000000
497,14.960000,31.000000
498,14.980000,17.000000
499,15.000000,22.000000
500,15.020000,20.000000
501,15.040000,22.000000
502,15.060000,20.000000
503,15.080000,12.000000
504,15.100000,14.000000
505,15.120000,23.000000
506,15.140000,21.000000
507,15.160000,16.000000
508,15.180000,24.000000
509,15.200000,14.000000
510,15.220000,12.000000
511,15.240000,24.000000
512,15.260000,19.000000
513,15.280000,18.000000
514,15.300000,18.000000
515,15.320000,23.000000
516,15.340000,21.000000
517,15.360000,13.000000
518,15.380000,22.000000
519,15.400000,27.000000
520,15.420000,13.000000
521,15.440000,25.000000
522,15.460000,14.000000
523,15.480000,19.000000
524,15.500000,25.000000
525,15.520000,13.000000
526,15.540000,26.000000
527,15.560000,19.000000
528,15.580000,15.000000
529,15.600000,23.000000
530,15.620000,30.000000
531,15.640000,21.000000
532,15.660000,28.000000
533,15.680000,17.000000
534,15.700000,18.000000
535,15.720000,15.000000
536,15.740000,21.000000
537,15.760000,22.000000
538,15.780000,30.000000
539,15.800000,24.000000
540,15.820000,20.000000
541,15.840000,26.000000
542,15.860000,21.000000
543,15.880000,17.000000
544,15.900000,19.000000
545,15.920000,19.000000
546,15.940000,21.000000
547,15.960000,23.000000
548,15.980000,17.000000
549,16.000000,24.000000
550,16.020000,22.000000
551,16.040000,23.000000
552,16.060000,24.000000
553,16.080000,22.000000
554,16.100000,18.000000
555,16.120000,16.000000
556,16.140000,26.000000
557,16.160000,29.000000
558,16.180000,26.000000
559,16.200000,31.000000
560,16.220000,27.000000
561,16.240000,23.000000
562,16.260000,31.000000
563,16.280000,25.000000
564,16.300000,32.000000
565,16.320000,23.000000
566,16.340000,30.000000
567,16.360000,27.000000
568,16.380000,22.000000
569,16.400000,19.000000
570,16.420000,15.000000
571,16.440000,27.000000
572,16.460000,26.000000
573,16.480000,17.000000
574,16.500000,28.000000
575,16.520000,23.000000
576,16.540000,19.000000
577,16.560000,22.000000
578,16.580000,29.000000
579,16.600000,19.000000
580,16.620000,31.000000
581,16.640000,33.000000
582,16.660000,19.000000
583,16.680000,16.000000
584,16.700000,25.000000
585,16.720000,24.000000
586,16.740000,17.000000
587,16.760000,20.000000
588,16.780000,18.000000
589,16.800000,15.000000
590,16.820000,24.000000
591,16.840000,23.000000
592,16.860000,18.000000
593,16.880000,24.000000
594,16.900000,20.000000
595,16.920000,19.000000
596,16.940000,26.000000
597,16.960000,14.000000
598,16.980000,23.000000
599,17.000000,32.000000
600,17.020000,21.000000
601,17.040000,20.000000
602,17.060000,25.000000
603,17.080000,10.000000
604,17.100000,13.000000
605,17.120000,23.000000
606,17.140000,17.000000
607,17.160000,31.000000
608,17.180000,22.000000
609,17.200000,29.000000
610,17.220000,24.000000
611,17.240000,19.000000
612,17.260000,19.000000
613,17.280000,14.000000
614,17.300000,19.000000
615,17.320000,23.000000
616,17.340000,23.000000
617,17.360000,26.000000
618,17.380000,29.000000
619,17.400000,18.000000
620,17.420000,25.000000
621,17.440000,24.000000
622,17.460000,20.000000
623,17.480000,24.000000
624,17.500000,24.000000
625,17.520000,13.000000
626,17.540000,22.000000
627,17.560000,26.000000
628,17.580000,18.000000
629,17.600000,30.000000
630,17.620000,14.000000
631,17.640000,29.000000
632,17.660000,14.000000
633,17.680000,21.000000
634,17.700000,15.000000
635,17.720000,16.000000
636,17.740000,19.000000
637,17.760000,26.000000
638,17.780000,18.000000
639,17.800000,20.000000
640,17.820000,14.000000
641,17.840000,21.000000
642,17.860000,19.000000
643,17.880000,28.000000
644,17.900000,14.000000
645,17.920000,21.000000
646,17.940000,17.000000
647,17.960000,27.000000
648,17.980000,18.000000
649,18.000000,13.000000
650,18.020000,14.000000
651,18.040000,18.000000
652,18.060000,24.000000
653,18.080000,26.000000
654,18.100000,28.000000
655,18.120000,20.000000
656,18.140000,26.000000
657,18.160000,15.000000
658,18.180000,16.000000
659,18.200000,17.000000
660,18.220000,18.000000
661,18.240000,18.000000
662,18.260000,23.000000
663,18.280000,17.000000
664,18.300000,18.000000
665,18.320000,19.000000
666,18.340000,17.000000
667,18.360000,20.000000
668,18.380000,15.000000
669,18.400000,28.000000
670,18.420000,23.000000
671,18.440000,25.000000
672,18.460000,26.000000
673,18.480000,15.000000
674,18.500000,12.000000
675,18.520000,20.000000
676,18.540000,23.000000
677,18.560000,21.000000
678,18.580000,20.000000
679,18.600000,20.000000
680,18.620000,15.000000
681,18.640000,14.000000
682,18.660000,11.000000
683,18.680000,18.000000
684,18.700000,21.000000
685,18.720000,16.000000
686,18.740000,18.000000
687,18.760000,25.000000
688,18.780000,24.000000
689,18.800000,19.000000
690,18.820000,23.000000
691,18.840000,19.000000
692,18.860000,18.000000
693,18.880000,16.000000
694,18.900000,16.000000
695,18.920000,26.000000
696,18.940000,17.000000
697,18.960000,20.000000
698,18.980000,20.000000
699,19.000000,20.000000
700,19.020000,25.000000
701,19.040000,17.000000
702,19.060000,19.000000
703,19.080000,18.000000
704,19.100000,19.000000
705,19.120000,26.000000
706,19.140000,17.000000
707,19.160000,16.000000
708,19.180000,14.000000
709,19.200000,27.000000
710,19.220000,20.000000
711,19.240000,16.000000
712,19.260000,17.000000
713,19.280000,16.000000
714,19.300000,17.000000
715,19.320000,16.000000
716,19.340000,19.000000
717,19.360000,15.000000
718,19.380000,16.000000
719,19.400000,21.000000
720,19.420000,22.000000
721,19.440000,23.000000
722,19.460000,19.000000
723,19.480000,17.000000
724,19.500000,26.000000
725,19.520000,23.000000
726,19.540000,18.000000
727,19.560000,16.000000
728,19.580000,17.000000
729,19.600000,25.000000
730,19.620000,28.000000
731,19.640000,17.000000
732,19.660000,23.000000
733,19.680000,17.000000
734,19.700000,23.000000
735,19.720000,22.000000
736,19.740000,21.000000
737,19.760000,15.000000
738,19.780000,35.000000
739,19.800000,28.000000
740,19.820000,16.000000
741,19.840000,19.000000
742,19.860000,26.000000
743,19.880000,18.000000
744,19.900000,15.000000
745,19.920000,22.000000
746,19.940000,13.000000
747,19.960000,18.000000
748,19.980000,20.000000
749,20.000000,22.000000
750,20.020000,15.000000
751,20.040000,24.000000
752,20.060000,20.000000
753,20.080000,24.000000
754,20.100000,26.000000
755,20.120000,22.000000
756,20.140000,21.000000
757,20.160000,14.000000
758,20.180000,22.000000
759,20.200000,24.000000
760,20.220000,19.000000
761,20.240000,27.000000
762,20.260000,19.000000
763,20.280000,29.000000
764,20.300000,22.000000
765,20.320000,30.000000
766,20.340000,23.000000
767,20.360000,16.000000
768,20.380000,21.000000
769,20.400000,29.000000
770,20.420000,36.000000
771,20.440000,33.000000
772,20.460000,38.000000
773,20.480000,44.000000
774,20.500000,30.000000
775,20.520000,44.000000
776,20.540000,52.000000
777,20.560000,48.000000
778,20.580000,46.000000
779,20.600000,44.000000
780,20.620000,45.000000
781,20.640000,67.000000
782,20.660000,70.000000
783,20.680000,87.000000
784,20.700000,105.000000
785,20.720000,146.000000
786,20.740000,228.000000
787,20.760000,370.000000
788,20.780000,641.000000
789,20.800000,1090.000000
790,20.820000,1487.000000
791,20.840000,1656.000000
792,20.860000,1260.000000
793,20.880000,870.000000
794,20.900000,600.000000
795,20.920000,296.000000
796,20.940000,152.000000
797,20.960000,104.000000
798,20.980000,66.000000
799,21.000000,51.000000
800,21.020000,57.000000
801,21.040000,45.000000
802,21.060000,48.000000
803,21.080000,38.000000
804,21.100000,45.000000
805,21.120000,44.000000
806,21.140000,33.000000
807,21.160000,26.000000
808,21.180000,23.000000
809,21.200000,29.000000
810,21.220000,18.000000
811,21.240000,16.000000
812,21.260000,14.000000
813,21.280000,18.000000
814,21.300000,19.000000
815,21.320000,18.000000
816,21.340000,24.000000
817,21.360000,25.000000
818,21.380000,24.000000
819,21.400000,30.000000
820,21.420000,16.000000
