,",5.000000,57.000000"
0,"0,5.02,55.0"
1,"1,5.04,57.0"
2,"2,5.06,56.0"
3,"3,5.08,68.0"
4,"4,5.1,50.0"
5,"5,5.12,67.0"
6,"6,5.14,56.0"
7,"7,5.16,69.0"
8,"8,5.18,50.0"
9,"9,5.2,66.0"
10,"10,5.22,61.0"
11,"11,5.24,50.0"
12,"12,5.26,47.0"
13,"13,5.28,56.0"
14,"14,5.3,54.0"
15,"15,5.32,56.0"
16,"16,5.34,53.0"
17,"17,5.36,47.0"
18,"18,5.38,49.0"
19,"19,5.4,63.0"
20,"20,5.42,64.0"
21,"21,5.44,46.0"
22,"22,5.46,48.0"
23,"23,5.48,42.0"
24,"24,5.5,44.0"
25,"25,5.52,47.0"
26,"26,5.54,53.0"
27,"27,5.56,55.0"
28,"28,5.58,41.0"
29,"29,5.6,50.0"
30,"30,5.62,50.0"
31,"31,5.64,56.0"
32,"32,5.66,58.0"
33,"33,5.68,57.0"
34,"34,5.7,48.0"
35,"35,5.72,62.0"
36,"36,5.74,50.0"
37,"37,5.76,40.0"
38,"38,5.78,50.0"
39,"39,5.8,47.0"
40,"40,5.82,58.0"
41,"41,5.84,43.0"
42,"42,5.86,56.0"
43,"43,5.88,46.0"
44,"44,5.9,50.0"
45,"45,5.92,62.0"
46,"46,5.94,36.0"
47,"47,5.96,41.0"
48,"48,5.98,38.0"
49,"49,6.0,51.0"
50,"50,6.02,53.0"
51,"51,6.04,43.0"
52,"52,6.06,41.0"
53,"53,6.08,56.0"
54,"54,6.1,53.0"
55,"55,6.12,47.0"
56,"56,6.14,51.0"
57,"57,6.16,47.0"
58,"58,6.18,41.0"
59,"59,6.2,39.0"
60,"60,6.22,38.0"
61,"61,6.24,48.0"
62,"62,6.26,48.0"
63,"63,6.28,42.0"
64,"64,6.3,45.0"
65,"65,6.32,33.0"
66,"66,6.34,40.0"
67,"67,6.36,40.0"
68,"68,6.38,39.0"
69,"69,6.4,39.0"
70,"70,6.42,34.0"
71,"71,6.44,50.0"
72,"72,6.46,32.0"
73,"73,6.48,44.0"
74,"74,6.5,47.0"
75,"75,6.52,48.0"
76,"76,6.54,47.0"
77,"77,6.56,47.0"
78,"78,6.58,43.0"
79,"79,6.6,36.0"
80,"80,6.62,42.0"
81,"81,6.64,50.0"
82,"82,6.66,30.0"
83,"83,6.68,29.0"
84,"84,6.7,43.0"
85,"85,6.72,41.0"
86,"86,6.74,38.0"
87,"87,6.76,38.0"
88,"88,6.78,51.0"
89,"89,6.8,38.0"
90,"90,6.82,48.0"
91,"91,6.84,39.0"
92,"92,6.86,35.0"
93,"93,6.88,47.0"
94,"94,6.9,43.0"
95,"95,6.92,33.0"
96,"96,6.94,40.0"
97,"97,6.96,37.0"
98,"98,6.98,45.0"
99,"99,7.0,39.0"
100,"100,7.02,48.0"
101,"101,7.04,47.0"
102,"102,7.06,32.0"
103,"103,7.08,43.0"
104,"104,7.1,38.0"
105,"105,7.12,42.0"
106,"106,7.14,44.0"
107,"107,7.16,39.0"
108,"108,7.18,47.0"
109,"109,7.2,31.0"
110,"110,7.22,36.0"
111,"111,7.24,40.0"
112,"112,7.26,42.0"
113,"113,7.28,45.0"
114,"114,7.3,40.0"
115,"115,7.32,41.0"
116,"116,7.34,43.0"
117,"117,7.36,36.0"
118,"118,7.38,33.0"
119,"119,7.4,35.0"
120,"120,7.42,36.0"
121,"121,7.44,41.0"
122,"122,7.46,30.0"
123,"123,7.48,43.0"
124,"124,7.5,41.0"
125,"125,7.52,37.0"
126,"126,7.54,52.0"
127,"127,7.56,52.0"
128,"128,7.58,40.0"
129,"129,7.6,50.0"
130,"130,7.62,41.0"
131,"131,7.64,49.0"
132,"132,7.66,53.0"
133,"133,7.68,56.0"
134,"134,7.7,47.0"
135,"135,7.72,58.0"
136,"136,7.74,59.0"
137,"137,7.76,54.0"
138,"138,7.78,79.0"
139,"139,7.8,88.0"
140,"140,7.82,98.0"
141,"141,7.84,89.0"
142,"142,7.86,86.0"
143,"143,7.88,84.0"
144,"144,7.9,56.0"
145,"145,7.92,65.0"
146,"146,7.94,66.0"
147,"147,7.96,49.0"
148,"148,7.98,46.0"
149,"149,8.0,50.0"
150,"150,8.02,41.0"
151,"151,8.04,42.0"
152,"152,8.06,47.0"
153,"153,8.08,48.0"
154,"154,8.1,35.0"
155,"155,8.12,30.0"
156,"156,8.14,40.0"
157,"157,8.16,45.0"
158,"158,8.18,39.0"
159,"159,8.2,51.0"
160,"160,8.22,27.0"
161,"161,8.24,35.0"
162,"162,8.26,44.0"
163,"163,8.28,35.0"
164,"164,8.3,36.0"
165,"165,8.32,29.0"
166,"166,8.34,34.0"
167,"167,8.36,32.0"
168,"168,8.38,43.0"
169,"169,8.4,35.0"
170,"170,8.42,35.0"
171,"171,8.44,40.0"
172,"172,8.46,32.0"
173,"173,8.48,29.0"
174,"174,8.5,23.0"
175,"175,8.52,35.0"
176,"176,8.54,36.0"
177,"177,8.56,36.0"
178,"178,8.58,37.0"
179,"179,8.6,35.0"
180,"180,8.62,45.0"
181,"181,8.64,45.0"
182,"182,8.66,26.0"
183,"183,8.68,37.0"
184,"184,8.7,35.0"
185,"185,8.72,34.0"
186,"186,8.74,15.0"
187,"187,8.76,32.0"
188,"188,8.78,34.0"
189,"189,8.8,45.0"
190,"190,8.82,36.0"
191,"191,8.84,29.0"
192,"192,8.86,35.0"
