,11.041611,27.000000
0,11.061616,31.0
1,11.081621,24.0
2,11.101627,20.0
3,11.121632,12.0
4,11.141637,22.0
5,11.161643,24.0
6,11.181648,20.0
7,11.201653,22.0
8,11.221659,38.0
9,11.241664,26.0
10,11.261669,27.0
11,11.281675,21.0
12,11.30168,13.0
13,11.321685,20.0
14,11.341691,25.0
15,11.361696,27.0
16,11.381701,14.0
17,11.401707,20.0
18,11.421712,25.0
19,11.441717,28.0
20,11.461723,17.0
21,11.481728,19.0
22,11.501733,22.0
23,11.521739,18.0
24,11.541744,21.0
25,11.561749,23.0
26,11.581755,27.0
27,11.60176,18.0
28,11.621765,26.0
29,11.641771,22.0
30,11.661776,19.0
31,11.681781,18.0
32,11.701787,17.0
33,11.721792,23.0
34,11.741797,26.0
35,11.761803,15.0
36,11.781808,20.0
37,11.801813,25.0
38,11.821819,25.0
39,11.841824,29.0
40,11.861829,15.0
41,11.881835,35.0
42,11.90184,33.0
43,11.921845,18.0
44,11.941851,13.0
45,11.961856,29.0
46,11.981861,18.0
47,12.001867,16.0
48,12.021872,23.0
49,12.041877,31.0
50,12.061883,30.0
51,12.081888,25.0
52,12.101893,29.0
53,12.121899,14.0
54,12.141904,15.0
55,12.161909,20.0
56,12.181915,24.0
57,12.20192,21.0
58,12.221925,16.0
59,12.241931,15.0
60,12.261936,20.0
61,12.281941,26.0
62,12.301947,18.0
63,12.321952,25.0
64,12.341957,19.0
65,12.361963,22.0
66,12.381968,21.0
67,12.401973,22.0
68,12.421979,28.0
69,12.441984,19.0
70,12.461989,19.0
71,12.481995,34.0
72,12.502,26.0
73,12.522005,31.0
74,12.542011,15.0
75,12.562016,21.0
76,12.582021,22.0
77,12.602027,16.0
78,12.622032,19.0
79,12.642037,20.0
80,12.662043,27.0
81,12.682048,28.0
82,12.702053,14.0
83,12.722059,21.0
84,12.742064,25.0
85,12.762069,19.0
86,12.782075,15.0
87,12.80208,23.0
88,12.822085,17.0
89,12.842091,26.0
90,12.862096,24.0
91,12.882101,23.0
92,12.902107,15.0
93,12.922112,19.0
94,12.942117,12.0
95,12.962123,21.0
96,12.982128,17.0
97,13.002133,16.0
98,13.022139,16.0
99,13.042144,27.0
100,13.062149,19.0
101,13.082155,21.0
102,13.10216,22.0
103,13.122165,23.0
104,13.142171,20.0
105,13.162176,26.0
106,13.182181,19.0
107,13.202187,26.0
108,13.222192,19.0
109,13.242197,19.0
110,13.262203,16.0
111,13.282208,22.0
112,13.302213,14.0
113,13.322219,26.0
114,13.342224,26.0
115,13.362229,25.0
116,13.382235,27.0
117,13.40224,18.0
118,13.422245,36.0
119,13.442251,19.0
120,13.462256,17.0
121,13.482261,20.0
122,13.502267,16.0
123,13.522272,18.0
124,13.542277,22.0
125,13.562283,16.0
126,13.582288,23.0
127,13.602293,24.0
128,13.622299,24.0
129,13.642304,30.0
130,13.662309,36.0
131,13.682315,12.0
132,13.70232,21.0
133,13.722325,24.0
134,13.742331,20.0
135,13.762336,19.0
136,13.782341,23.0
137,13.802347,17.0
138,13.822352,17.0
139,13.842357,28.0
140,13.862363,28.0
141,13.882368,20.0
142,13.902373,27.0
143,13.922379,25.0
144,13.942384,25.0
145,13.962389,33.0
146,13.982395,21.0
147,14.0024,27.0
148,14.022405,23.0
149,14.042411,22.0
150,14.062416,14.0
151,14.082421,25.0
152,14.102427,15.0
153,14.122432,21.0
154,14.142437,27.0
155,14.162443,23.0
156,14.182448,22.0
157,14.202453,22.0
158,14.222459,13.0
159,14.242464,23.0
160,14.262469,20.0
161,14.282475,18.0
162,14.30248,24.0
163,14.322485,19.0
164,14.342491,16.0
165,14.362496,24.0
166,14.382501,18.0
167,14.402507,19.0
168,14.422512,18.0
169,14.442517,15.0
170,14.462523,18.0
171,14.482528,19.0
172,14.502533,18.0
173,14.522539,17.0
174,14.542544,19.0
175,14.562549,17.0
176,14.582555,25.0
177,14.60256,22.0
178,14.622565,24.0
179,14.642571,18.0
180,14.662576,23.0
181,14.682581,18.0
182,14.702587,25.0
183,14.722592,21.0
184,14.742597,13.0
185,14.762603,19.0
186,14.782608,22.0
187,14.802613,20.0
188,14.822619,17.0
189,14.842624,19.0
190,14.862629,24.0
191,14.882635,13.0
192,14.90264,22.0
193,14.922645,24.0
194,14.942651,17.0
195,14.962656,25.0
196,14.982661,20.0
197,15.002667,27.0
198,15.022672,25.0
199,15.042677,28.0
200,15.062683,14.0
201,15.082688,18.0
202,15.102693,26.0
203,15.122699,19.0
204,15.142704,22.0
205,15.162709,24.0
206,15.182715,19.0
207,15.20272,27.0
208,15.222725,14.0
209,15.242731,20.0
210,15.262736,19.0
211,15.282741,18.0
212,15.302747,23.0
213,15.322752,16.0
214,15.342757,22.0
215,15.362763,24.0
216,15.382768,19.0
217,15.402773,21.0
218,15.422779,18.0
219,15.442784,17.0
220,15.462789,18.0
221,15.482795,28.0
222,15.5028,19.0
223,15.522805,15.0
224,15.542811,20.0
225,15.562816,32.0
226,15.582821,16.0
227,15.602827,15.0
228,15.622832,26.0
229,15.642837,25.0
230,15.662843,23.0
231,15.682848,32.0
232,15.702853,17.0
233,15.722859,26.0
234,15.742864,19.0
235,15.762869,17.0
236,15.782875,29.0
237,15.80288,32.0
238,15.822885,32.0
239,15.842891,31.0
240,15.862896,31.0
241,15.882901,24.0
242,15.902907,20.0
243,15.922912,19.0
244,15.942917,19.0
245,15.962923,31.0
246,15.982928,31.0
247,16.002933,25.0
248,16.022939,25.0
249,16.042944,21.0
250,16.062949,27.0
251,16.082955,28.0
252,16.10296,34.0
253,16.122965,28.0
254,16.142971,33.0
255,16.162976,26.0
256,16.182981,39.0
257,16.202987,34.0
258,16.222992,37.0
259,16.242997,24.0
260,16.263003,23.0
261,16.283008,28.0
262,16.303013,24.0
263,16.323019,22.0
264,16.343024,26.0
265,16.363029,22.0
266,16.383035,21.0
267,16.40304,23.0
268,16.423045,15.0
